Scientific Name
Opuntia humifusa
Opuntia hyptiacantha
Opuntia inaequilateralis
Opuntia inaperta
Opuntia lagunae
Opuntia lasiacantha
Opuntia leucotricha
Opuntia littoralis
Opuntia lucayana
Opuntia lutea
Opuntia macrocentra
Opuntia macrorhiza
Opuntia megapotamica
Opuntia megarrhiza
Opuntia microdasys
Opuntia monacantha
Opuntia nuda
Opuntia oricola
Opuntia pachona
Opuntia parryi
Opuntia parviclada
Opuntia penicilligera
Opuntia phaeacantha
Opuntia picardoi
Opuntia pilifera
Opuntia pinkavae
Opuntia pittieri
Opuntia polyacantha
Opuntia pottsii
Opuntia puberula
Opuntia pubescens
Opuntia pusilla
